championid,matchid,teamid,killingsprees,totdmgdealt,visionscore,win,goldearned,champlvl,totheal,totdmgtaken,towerkills,inhibkills_y,baronkills,dragonkills,harrykills,KDA,support_champion
1,102665.36734693877,142.85714285714286,0.16697588126159554,0.9996575673077283,0.052673583399840386,0.6326530612244898,0.319856289247611,0.8175270108043217,0.028672148138025738,0.1600623730904667,0.47066326530612246,0.10675039246467818,0.10204081632653061,0.20408163265306123,0.12244897959183673,0.07888597077053709,150.0612244897959
2,107445.6,140.0,0.2363636363636364,0.999670308335206,0.041340782122905026,0.6,0.3611091692881277,0.8705882352941176,0.07509983461740148,0.32976687200664856,0.4625,0.12307692307692308,0.12000000000000002,0.22857142857142856,0.1,0.05283564814814814,78.2
3,117839.6,140.0,0.09090909090909091,0.9996613065140536,0.0659217877094972,0.2,0.28778399161132473,0.788235294117647,0.06149005687547902,0.2525047765107054,0.35,0.015384615384615385,0.08,0.2,0.3,0.05943121693121693,187.0
4,89876.09278350516,152.57731958762886,0.14807872539831302,0.9996658717638329,0.04763001785405748,0.4329896907216495,0.32368632672352804,0.7974530018192844,0.03755904516396248,0.19246646373212714,0.3402061855670103,0.07969865186360031,0.08350515463917525,0.19072164948453607,0.09278350515463918,0.04877804437220181,156.27835051546393
5,101639.33333333333,166.66666666666666,0.1818181818181818,0.9996521688362628,0.0595903165735568,0.6666666666666666,0.30678861315002526,0.823529411764706,0.08080889570139703,0.25320218991235216,0.4583333333333333,0.12820512820512822,0.13333333333333333,0.19047619047619047,0.3333333333333333,0.050859788359788355,54.0
6,94263.10784313726,147.54901960784315,0.12076648841354724,0.999648711707754,0.0466918611019827,0.4068627450980392,0.27349334525841096,0.7701845444059977,0.03522749202944459,0.17940948837703133,0.34160539215686275,0.07428355957767722,0.05686274509803922,0.19957983193277312,0.08333333333333333,0.052910684880660364,155.94117647058823
7,126709.93103448275,158.6206896551724,0.18495297805642633,0.9996470652291831,0.046811789635908305,0.4482758620689655,0.28621834661138496,0.795131845841785,0.04911021658304808,0.18030674253935175,0.3577586206896552,0.07161803713527852,0.12413793103448276,0.20689655172413793,0.10344827586206896,0.08782651535884294,149.0344827586207
8,78716.0,157.14285714285714,0.15584415584415584,0.9996612358017505,0.03671189146049481,0.42857142857142855,0.28042559211730833,0.7899159663865546,0.19295452842909583,0.25444328712061776,0.30357142857142855,0.04395604395604396,0.08571428571428573,0.061224489795918366,0.14285714285714285,0.07587138390709817,208.28571428571428
9,103035.66666666667,144.44444444444446,0.0606060606060606,0.9996636163148191,0.040968342644320296,0.4444444444444444,0.282994808859891,0.8300653594771242,0.052476481160277706,0.18251744723466923,0.2916666666666667,0.05128205128205129,0.06666666666666668,0.12698412698412698,0.05555555555555555,0.060079966329966324,65.0
10,81058.05128205128,148.71794871794873,0.18414918414918416,0.9996742700669856,0.06646612233204412,0.5128205128205128,0.34572664509749446,0.8371040723981901,0.09250410353633298,0.21494045535958883,0.3958333333333333,0.08086785009861934,0.09743589743589744,0.24908424908424906,0.1282051282051282,0.09184494132410799,116.38461538461539
11,85696.6875,143.75,0.20454545454545456,0.9996671518851835,0.06564245810055866,0.4375,0.3095654200163113,0.8051470588235294,0.04907400871283934,0.2214758775499713,0.359375,0.07211538461538462,0.08750000000000001,0.17857142857142855,0.15625,0.04573516038359788,134.9375
12,57026.333333333336,166.66666666666666,0.06060606060606061,0.9996312345633166,0.0074487895716946,0.0,0.2607868266728805,0.8039215686274509,0.11884353192690898,0.2872674931672336,0.3125,0.15384615384615385,0.06666666666666667,0.19047619047619047,0.0,0.04613095238095238,233.66666666666666
13,103406.15384615384,169.23076923076923,0.15384615384615385,0.9996751470338333,0.041254834550923936,0.38461538461538464,0.3132220220650839,0.8190045248868778,0.045650096343896523,0.2046600554529991,0.32211538461538464,0.07100591715976332,0.09230769230769233,0.24175824175824176,0.11538461538461539,0.06033093064343065,140.92307692307693
14,78760.14285714286,142.85714285714286,0.2597402597402597,0.9996718482994185,0.06943335993615322,0.42857142857142855,0.3647409330736839,0.8655462184873949,0.16342912462471984,0.2785896044033248,0.39285714285714285,0.08791208791208792,0.05714285714285715,0.2040816326530612,0.0,0.0475907029478458,308.2857142857143
15,99628.61647819063,149.1437802907916,0.13091496548685563,0.9996825412977393,0.05376215016109963,0.49709208400646204,0.3244007107636785,0.8130286040102631,0.03933474639586296,0.16639864152031267,0.375,0.0845656766496831,0.08284329563812602,0.2165705054234941,0.10831987075928917,0.07839748412023444,153.34571890145395
16,87332.33333333333,153.33333333333334,0.10909090909090909,0.9996530857289306,0.04208566108007449,0.5333333333333333,0.28174492213289837,0.788235294117647,0.11749223508531323,0.19603713826320648,0.4125,0.0923076923076923,0.08000000000000002,0.22857142857142856,0.13333333333333333,0.053472522847522845,167.6
17,99975.62068965517,150.0,0.15804597701149425,0.999667052412974,0.05374686958196879,0.4885057471264368,0.31739289172261126,0.8076402974983097,0.04333889361035267,0.18861229721679684,0.3742816091954023,0.09305923961096375,0.0867816091954023,0.21962233169129722,0.08477011494252873,0.059498514829397185,138.79885057471265
18,98598.71588013007,149.4771069514017,0.1630515542985883,0.9996703153562005,0.05371160537322255,0.5034713067932156,0.3120667726626587,0.7944924344638989,0.036364053580205766,0.17866910889876994,0.37624681430705686,0.08226354891263934,0.0820634502153089,0.21206985298733252,0.11196062922928202,0.07422345358473104,157.1779593988927
20,95697.33333333333,150.0,0.12121212121212122,0.9996509098039491,0.020484171322160148,0.3333333333333333,0.2471018291972504,0.7156862745098039,0.08510817097602626,0.23752752383971487,0.3333333333333333,0.08974358974358976,0.20000000000000004,0.14285714285714285,0.08333333333333333,0.04551504629629629,135.0
21,100626.72509401961,149.6644790207212,0.16906771423399988,0.9996644426240493,0.059272832584733,0.5263623626576212,0.31633451742293767,0.7989042973579078,0.034216011195382354,0.16996850814125078,0.38662801415824793,0.0895100769741283,0.08183762259420396,0.22203377332055158,0.11455644863948086,0.07847854736452876,148.29540594351448
22,96098.51208607644,149.444826569716,0.12991862220515066,0.9996635772706453,0.06459383987225001,0.5026530411712685,0.3004491163518618,0.7882653503574958,0.03506455017300236,0.16654254581709294,0.369125847499263,0.08309083075713714,0.09077331237103273,0.21253807605384692,0.11702859388817922,0.07037523691248183,156.26392846614917
23,104304.0,150.0,0.22727272727272727,0.999716747752568,0.09636871508379888,0.5,0.40029709891646276,0.8529411764705882,0.11882840546972692,0.4117823453310144,0.40625,0.17307692307692307,0.1,0.3214285714285714,0.0,0.057344276094276087,304.0
24,51673.5,200.0,0.13636363636363635,0.9996447976516376,0.0111731843575419,0.5,0.2351887451939881,0.7058823529411764,0.0384010326328103,0.2185371454029833,0.34375,0.07692307692307693,0.1,0.21428571428571427,0.0,0.056423611111111105,17.0
25,115213.625,137.5,0.14772727272727273,0.9996566826249808,0.06075418994413408,0.375,0.3101443259932425,0.8529411764705882,0.020293402847807673,0.17358118354652707,0.3828125,0.038461538461538464,0.07500000000000001,0.21428571428571427,0.0625,0.13194444444444442,71.75
26,65649.57142857143,171.42857142857142,0.1038961038961039,0.999649160648619,0.06304868316041501,0.42857142857142855,0.2557505700637473,0.7394957983193277,0.09170810835729558,0.15848958224961723,0.3125,0.05494505494505495,0.05714285714285715,0.1020408163265306,0.0,0.10087159863945579,124.57142857142857
28,150277.0,200.0,0.09090909090909091,0.9996332117459862,0.0558659217877095,1.0,0.21073633927531163,0.6470588235294117,0.005546367633415353,0.07476203123795164,0.6875,0.15384615384615385,0.0,0.2857142857142857,0.0,0.25,497.0
29,93733.7470908171,150.33518846445736,0.18247935974978727,0.9996646176960535,0.05785613641856055,0.5352264103212749,0.31786315801014947,0.7994040267257927,0.035832857655851647,0.1786901086611036,0.3726204781178851,0.08332036038840998,0.09009612952188212,0.20998518304361968,0.11832785226410321,0.07709682750791932,157.8228560586896
30,68264.25,125.0,0.17424242424242423,0.9996932328861853,0.034916201117318434,0.5,0.38591547244553187,0.8823529411764706,0.05486618127546287,0.24570399627589243,0.4010416666666667,0.11538461538461538,0.08333333333333333,0.22619047619047616,0.0,0.05878328238525607,277.1666666666667
31,103455.0,133.33333333333334,0.21212121212121213,0.9996660412327256,0.10614525139664804,0.3333333333333333,0.35613033515864695,0.8823529411764706,0.1351666599437968,0.38659035673181,0.3541666666666667,0.025641025641025644,0.20000000000000004,0.3333333333333333,0.0,0.19652777777777777,198.33333333333334
32,96990.0,200.0,0.18181818181818182,0.999665291817965,0.10614525139664804,1.0,0.3765000582546895,0.9411764705882353,0.0906377314347949,0.2775516848445385,0.5625,0.07692307692307693,0.2,0.2857142857142857,0.5,0.09027777777777776,111.0
33,26118.0,100.0,0.0,0.9996357807025475,0.0111731843575419,0.0,0.19826983572177562,0.7647058823529411,0.025553628332862736,0.22028496277320359,0.0625,0.0,0.0,0.0,0.0,0.020833333333333332,16.0
34,74770.05882352941,147.05882352941177,0.20320855614973263,0.9996738658949672,0.08051265198816956,0.4117647058823529,0.36025899349603524,0.8927335640138407,0.12153722769411102,0.26134758331993574,0.39338235294117646,0.0904977375565611,0.10588235294117647,0.2352941176470588,0.17647058823529413,0.11697924896454306,190.2941176470588
35,149963.5,100.0,0.13636363636363635,0.9996811589299895,0.16201117318435754,0.5,0.4395898869859024,0.9705882352941176,0.05926545923924005,0.20262686669465463,0.4375,0.11538461538461539,0.0,0.5,0.0,0.3645833333333333,55.0
36,135076.0,100.0,0.18181818181818182,0.999664234724225,0.0,0.0,0.3164977280671094,0.8823529411764706,0.08997216731878505,0.3747354712681101,0.1875,0.0,0.0,0.0,0.0,0.03125,15.0
37,104340.5,166.66666666666666,0.11363636363636365,0.9996538611870179,0.020949720670391064,0.3333333333333333,0.3108664414152006,0.8186274509803922,0.1137047382786764,0.18573629662631266,0.3229166666666667,0.07051282051282053,0.15,0.19047619047619047,0.08333333333333333,0.09599109898589064,130.25
38,75924.33333333333,133.33333333333334,0.1818181818181818,0.9996502548030356,0.0484171322160149,0.3333333333333333,0.30182725542739525,0.8039215686274509,0.041644817339625946,0.25405039540084134,0.25,0.025641025641025644,0.06666666666666667,0.14285714285714285,0.0,0.03279320987654321,45.333333333333336
