championid,matchid,teamid,killingsprees,totdmgdealt,visionscore,win,goldearned,champlvl,totheal,totdmgtaken,towerkills,inhibkills_y,baronkills,dragonkills,harrykills,KDA,support_champion
11,65280.0,100.0,0.09090909090909091,0.9996767462269271,0.0670391061452514,0.0,0.3649510660608179,0.8823529411764706,0.04559618409906821,0.25084606355543754,0.375,0.07692307692307693,0.0,0.14285714285714285,0.0,0.03993055555555555,68.0
12,30478.0,200.0,0.0,0.9996342855968264,0.0,0.0,0.3244203658394501,0.8823529411764706,0.1303396393852608,0.3202875330928657,0.375,0.07692307692307693,0.0,0.14285714285714285,0.0,0.06547619047619047,236.0
13,100989.0,200.0,0.18181818181818182,0.9996628043195299,0.0,0.0,0.299603868111383,0.8235294117647058,0.03841111693759833,0.21282246802093954,0.25,0.0,0.0,0.2857142857142857,0.0,0.04398148148148148,99.0
14,61769.0,100.0,0.2727272727272727,0.9996706177829904,0.0782122905027933,0.0,0.38081090527787487,0.8823529411764706,0.19367915775886413,0.27410745649733975,0.5,0.07692307692307693,0.0,0.2857142857142857,0.0,0.03869047619047619,432.0
15,105393.5,100.0,0.09090909090909091,0.9996759686509287,0.0335195530726257,0.0,0.3176628218571595,0.8235294117647058,0.033585777096526964,0.159201316003667,0.375,0.07692307692307693,0.0,0.14285714285714285,0.0,0.05416666666666667,89.0
16,96338.0,200.0,0.09090909090909091,0.9996513163963674,0.03910614525139665,1.0,0.279418618198765,0.7647058823529411,0.10618772941793393,0.1790227644644739,0.4375,0.07692307692307693,0.0,0.2857142857142857,0.0,0.05654761904761905,99.0
17,106959.0,150.0,0.09090909090909091,0.9996586278450332,0.03910614525139665,0.0,0.304395316322964,0.8235294117647058,0.03472026138518011,0.17502591738992607,0.40625,0.07692307692307693,0.0,0.14285714285714285,0.0,0.041666666666666664,77.0
18,102894.0,100.0,0.18181818181818182,0.9996647453503074,0.03910614525139665,1.0,0.3057788651986485,0.8235294117647058,0.031745391472711874,0.1703179485422004,0.4375,0.07692307692307693,0.0,0.14285714285714285,0.0,0.05208333333333333,89.0
20,99678.5,150.0,0.13636363636363635,0.9996439988965263,0.0,0.0,0.2755738086915997,0.7352941176470588,0.0905318462345206,0.24867842730707612,0.25,0.0,0.2,0.14285714285714285,0.0,0.048437499999999994,107.0
21,104612.0,100.0,0.18181818181818182,0.9996589390150752,0.05027932960893855,1.0,0.3099149481533264,0.8235294117647058,0.029032713484732364,0.16129612652826925,0.4375,0.07692307692307693,0.0,0.14285714285714285,0.0,0.05555555555555555,89.0
22,95457.5,100.0,0.09090909090909091,0.9996587919249731,0.0558659217877095,1.0,0.295278457415822,0.8235294117647058,0.03093864708966964,0.15798469803027837,0.4375,0.07692307692307693,0.0,0.14285714285714285,0.0,0.049999999999999996,89.0
23,110379.0,150.0,0.2727272727272727,0.9996921220300821,0.055865921787709494,0.5,0.3618926948619364,0.8529411764705882,0.09609838247751201,0.3384939640326602,0.4375,0.15384615384615385,0.1,0.3571428571428571,0.0,0.0382996632996633,339.5
24,51673.5,200.0,0.13636363636363635,0.9996447976516376,0.0111731843575419,0.5,0.2351887451939881,0.7058823529411764,0.0384010326328103,0.2185371454029833,0.34375,0.07692307692307693,0.1,0.21428571428571427,0.0,0.056423611111111105,17.0
25,138850.5,100.0,0.18181818181818182,0.9996477825101173,0.0,0.0,0.2912443201677735,0.8235294117647058,0.012000322697753217,0.15550433955636284,0.40625,0.0,0.0,0.2857142857142857,0.0,0.11545138888888888,76.0
26,53450.0,200.0,0.09090909090909091,0.9996435234138071,0.0670391061452514,0.0,0.22104741931725505,0.7647058823529411,0.05870073817111049,0.1322515143466676,0.25,0.0,0.0,0.14285714285714285,0.0,0.0625,89.0
28,150277.0,200.0,0.09090909090909091,0.9996332117459862,0.0558659217877095,1.0,0.21073633927531163,0.6470588235294117,0.005546367633415353,0.07476203123795164,0.6875,0.15384615384615385,0.0,0.2857142857142857,0.0,0.25,497.0
29,91363.0,200.0,0.18181818181818182,0.9996597305553239,0.05027932960893855,1.0,0.3126674822323197,0.8235294117647058,0.03177564438707596,0.16950401398253898,0.4375,0.07692307692307693,0.0,0.14285714285714285,0.0,0.05555555555555555,89.0
30,66895.5,100.0,0.13636363636363635,0.9996774409483744,0.0,0.5,0.35614004427356405,0.9117647058823529,0.04489532491630027,0.2364137186528098,0.4375,0.038461538461538464,0.0,0.21428571428571427,0.0,0.059027777777777776,267.0
31,125337.0,100.0,0.2727272727272727,0.9996616950925892,0.09497206703910614,0.0,0.36018874519398814,0.8823529411764706,0.120295671816385,0.4090920774180283,0.375,0.0,0.2,0.42857142857142855,0.0,0.049999999999999996,143.0
32,96990.0,200.0,0.18181818181818182,0.999665291817965,0.10614525139664804,1.0,0.3765000582546895,0.9411764705882353,0.0906377314347949,0.2775516848445385,0.5625,0.07692307692307693,0.2,0.2857142857142857,0.5,0.09027777777777776,111.0
33,26118.0,100.0,0.0,0.9996357807025475,0.0111731843575419,0.0,0.19826983572177562,0.7647058823529411,0.025553628332862736,0.22028496277320359,0.0625,0.0,0.0,0.0,0.0,0.020833333333333332,16.0
34,81019.0,100.0,0.2727272727272727,0.9996688475815404,0.0670391061452514,0.0,0.35442153093324014,0.8823529411764706,0.11096768988745917,0.2579572812872161,0.4375,0.07692307692307693,0.0,0.2857142857142857,0.0,0.06874999999999999,106.0
35,149963.5,100.0,0.13636363636363635,0.9996811589299895,0.16201117318435754,0.5,0.4395898869859024,0.9705882352941176,0.05926545923924005,0.20262686669465463,0.4375,0.11538461538461539,0.0,0.5,0.0,0.3645833333333333,55.0
36,135076.0,100.0,0.18181818181818182,0.999664234724225,0.0,0.0,0.3164977280671094,0.8823529411764706,0.08997216731878505,0.3747354712681101,0.1875,0.0,0.0,0.0,0.0,0.03125,15.0
37,126185.0,200.0,0.09090909090909091,0.9996450704199915,0.0,0.0,0.28604508912967497,0.8235294117647058,0.08090637731434797,0.14140185234370317,0.21875,0.0,0.2,0.14285714285714285,0.0,0.04991319444444444,49.0
38,69528.0,100.0,0.2727272727272727,0.9996632921373367,0.0446927374301676,0.0,0.3518000699056274,0.9411764705882353,0.03233028115041749,0.22405476494426693,0.1875,0.0,0.0,0.14285714285714285,0.0,0.041666666666666664,43.0
39,50303.5,100.0,0.2727272727272727,0.9996668411515245,0.06145251396648045,0.5,0.38021379471047423,0.8823529411764706,0.07886934774716631,0.2904803927448444,0.40625,0.038461538461538464,0.0,0.2857142857142857,0.0,0.050148809523809526,237.5
40,134619.0,100.0,0.09090909090909091,0.9996368899294883,0.0,0.0,0.2410870325061167,0.7647058823529411,0.055090557056996496,0.15579564245139954,0.1875,0.0,0.0,0.14285714285714285,0.0,0.04398148148148148,51.0
41,113167.5,100.0,0.09090909090909091,0.9996823561317065,0.05307262569832402,0.0,0.3252213678201096,0.8235294117647058,0.06204368520834175,0.17245131386173396,0.25,0.0,0.0,0.21428571428571427,0.0,0.041666666666666664,63.0
42,138403.0,200.0,0.18181818181818182,0.9996638483799697,0.0,0.0,0.3117790982174065,0.8235294117647058,0.03054535920293655,0.1822870704353265,0.375,0.07692307692307693,0.0,0.2857142857142857,0.0,0.057291666666666664,89.0
43,97799.5,100.0,0.22727272727272727,0.9996735702909572,0.05865921787709497,0.5,0.4076371897937784,0.9411764705882353,0.05505021983784439,0.20187719012654542,0.46875,0.07692307692307693,0.2,0.2857142857142857,0.0,0.07864583333333333,89.0
44,149163.0,100.0,0.0,0.9996357760477975,0.0335195530726257,0.0,0.19273564021903763,0.7647058823529411,0.03965148642652576,0.2108861605421661,0.0,0.0,0.0,0.14285714285714285,0.0,0.03125,15.0
45,91739.5,150.0,0.18181818181818182,0.9996558084629183,0.04189944134078212,0.0,0.2809914948153327,0.7647058823529411,0.02299725706909766,0.13565290403283156,0.375,0.07692307692307693,0.0,0.14285714285714285,0.0,0.05486111111111111,71.0
48,140636.0,100.0,0.2727272727272727,0.9996745179980706,0.0,1.0,0.34358615868577425,0.9411764705882353,0.15435036908555524,0.45320733055167634,0.125,0.0,0.0,0.0,0.0,0.10416666666666666,89.0
50,91074.0,200.0,0.09090909090909091,0.9996371771275674,0.0,0.0,0.2179744844459979,0.7352941176470588,0.06659170666774233,0.25862556439935913,0.21875,0.0,0.0,0.14285714285714285,0.0,0.031994047619047616,44.0
51,89710.0,100.0,0.09090909090909091,0.999671501254553,0.05027932960893855,1.0,0.3061575206804148,0.8235294117647058,0.03046468476463233,0.15506738521380778,0.4375,0.07692307692307693,0.0,0.14285714285714285,0.0,0.049999999999999996,89.0
53,41731.0,200.0,0.09090909090909091,0.9996426785766701,0.0782122905027933,1.0,0.26814633578003033,0.8235294117647058,0.012534790851518698,0.10499755819632102,0.625,0.15384615384615385,0.0,0.2857142857142857,0.0,0.22916666666666666,89.0
55,111031.0,100.0,0.18181818181818182,0.9996730945755005,0.0,0.0,0.3224688337411162,0.8823529411764706,0.049493767899641,0.21953957007119787,0.3125,0.07692307692307693,0.0,0.14285714285714285,0.0,0.047619047619047616,63.0
56,74922.0,150.0,0.09090909090909091,0.9996331475104354,0.008379888268156424,0.0,0.17757485727601072,0.588235294117647,0.02139385260780122,0.1724170429329061,0.125,0.0,0.0,0.07142857142857142,0.25,0.019047619047619046,228.5
57,92789.5,150.0,0.18181818181818182,0.9996652336335892,0.0,1.0,0.3865926832109985,0.8529411764705882,0.06020834173692066,0.19498873343214784,0.46875,0.11538461538461539,0.1,0.3571428571428571,0.0,0.08452380952380953,60.0
58,47082.0,200.0,0.2727272727272727,0.9996436318694837,0.0,1.0,0.29258417802633113,0.8235294117647058,0.06887580170223065,0.2246030998055125,0.625,0.15384615384615385,0.2,0.14285714285714285,0.0,0.11805555555555555,25.0
59,78009.5,200.0,0.18181818181818182,0.9996736187003579,0.0,1.0,0.3670045438657812,0.9411764705882353,0.03252188294139002,0.2541189372584971,0.59375,0.15384615384615385,0.2,0.21428571428571427,0.0,0.05714285714285714,89.0
60,79534.0,100.0,0.0,0.9996261607305865,0.1340782122905028,0.0,0.1570837702435046,0.5882352941176471,0.03505304344318503,0.16435480692615473,0.0625,0.0,0.0,0.14285714285714285,0.0,0.017361111111111112,17.0
61,75871.5,200.0,0.18181818181818182,0.9996555780527902,0.07541899441340782,1.0,0.3179686589770476,0.8235294117647058,0.02756040498568029,0.1440407138634475,0.5,0.07692307692307693,0.0,0.14285714285714285,0.0,0.07256944444444444,55.5
62,87624.5,150.0,0.09090909090909091,0.9996530128200289,0.0,1.0,0.30853139927764184,0.7941176470588235,0.01392642491226655,0.1706049675711336,0.5,0.07692307692307693,0.0,0.21428571428571427,0.25,0.08177083333333332,130.0
63,107503.0,100.0,0.18181818181818182,0.9996497619425828,0.04748603351955308,0.0,0.31086158685774207,0.8235294117647058,0.03199245694001856,0.19320236126699625,0.28125,0.0,0.0,0.14285714285714285,0.0,0.03854166666666667,50.0
64,145176.0,100.0,0.18181818181818182,0.99967093942622,0.0,0.0,0.3568391005475941,0.8823529411764706,0.0375337824210399,0.2569548566190015,0.25,0.0,0.0,0.2857142857142857,0.0,0.0390625,117.0
67,93730.5,200.0,0.18181818181818182,0.9996608011478391,0.0446927374301676,1.0,0.3071041593848305,0.8235294117647058,0.038254810213383894,0.1767865863584568,0.375,0.07692307692307693,0.0,0.14285714285714285,0.0,0.04464285714285714,89.0
68,139700.0,200.0,0.09090909090909091,0.9996622585500847,0.0223463687150838,0.0,0.31386170336712105,0.7941176470588235,0.017945020370295675,0.20048921750901755,0.21875,0.0,0.0,0.07142857142857142,0.0,0.030257936507936505,263.5
69,89713.5,100.0,0.09090909090909091,0.9996616776372764,0.08379888268156425,1.0,0.32089595712454855,0.8823529411764706,0.0706304707353475,0.1998466375934954,0.5,0.07692307692307693,0.0,0.21428571428571427,0.0,0.05059523809523809,101.0
74,109639.5,200.0,0.09090909090909091,0.9996598464586005,0.04189944134078212,0.0,0.3065361761621811,0.8529411764705882,0.012635633899398976,0.17071206422372065,0.34375,0.038461538461538464,0.0,0.14285714285714285,0.0,0.035416666666666666,53.0
75,113810.0,200.0,0.09090909090909091,0.9996636975660675,0.0,1.0,0.27723406734242106,0.7647058823529411,0.017496268807228432,0.20079337200236472,0.6875,0.07692307692307693,0.0,0.2857142857142857,0.0,0.03645833333333333,117.0
76,138947.0,100.0,0.2727272727272727,0.9996601189942169,0.0,1.0,0.31574041710357686,0.8235294117647058,0.07776007422048324,0.20935253647711988,0.5,0.07692307692307693,0.0,0.2857142857142857,0.0,0.049479166666666664,99.0
78,48370.0,100.0,0.18181818181818182,0.9996333388206631,0.10614525139664804,1.0,0.2896131888617034,0.8235294117647058,0.042858295349118634,0.21223129449865916,0.6875,0.23076923076923078,0.2,0.42857142857142855,0.5,0.078125,34.0
